00:02:53.162935 DCon02   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:02:53.426419 DCon14   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:02:53.428881 DCon14   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:03:12.597300 DCon04   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:13.388193 DCon14   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:03:13.391376 DCon14   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:03:17.148676 DCon03   Saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox" with version "1.19-linux"
00:03:17.154318 DCon03   Finished saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox"
00:03:17.197854 DCon04   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:17.208250 DCon04   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:03:17.505408 DCon04   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:03:17.508550 DCon04   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:08:14.008634 DCon10   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:08:14.656437 DCon10   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:08:14.660714 DCon10   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:08:20.928672 DCon15   Saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox" with version "1.19-linux"
00:08:20.932602 DCon15   Finished saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox"
00:08:20.972991 DCon15   Saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox" with version "1.19-linux"
00:08:20.975687 DCon15   Finished saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox"
00:08:21.030544 DCon12   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:08:21.041837 DCon03   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:08:21.314005 DCon03   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:08:21.317405 DCon03   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:18:42.090043 DCon21   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:18:42.866447 DCon20   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:18:42.869083 DCon20   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:18:54.009065 DCon17   Saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox" with version "1.19-linux"
00:18:54.223906 DCon17   Finished saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox"
00:18:54.292897 DCon15   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:18:54.302201 DCon15   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:18:54.601827 DCon23   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:18:54.908981 DCon23   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:18:56.702082 DCon18   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:18:57.483020 DCon20   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:18:57.702062 DCon20   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:21:19.714860 DCon23   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:21:19.718205 DCon23   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:21:46.683596 DCon23   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:21:46.687359 DCon23   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:24:47.201725 DCon25   Saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox" with version "1.19-linux"
00:24:47.342620 DCon25   Finished saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox"
00:24:47.401121 DCon25   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:24:47.410637 DCon25   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:24:47.712448 DCon15   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:24:47.912533 DCon15   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:25:00.605900 DCon24   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:25:00.609264 DCon24   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:25:01.691306 DCon25   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:25:01.695527 DCon25   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:25:03.396936 DCon20   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:25:03.400498 DCon20   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:25:03.410131 DCon25   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:25:03.416599 DCon25   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:25:04.202494 DCon25   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:25:04.205196 DCon25   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:25:04.214295 DCon04   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:25:04.224489 DCon25   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:26:13.529213 DCon29   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:26:13.540013 DCon29   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Stopping)}, preserve=false aResultDetail=0
00:26:13.661474 DCon30   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={The machine is not mutable or saved (state is Stopping)}, preserve=false aResultDetail=0
00:26:13.681075 DCon30   Saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox" with version "1.19-linux"
00:26:13.684557 DCon30   Finished saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox"
00:26:13.686326 DCon25   ERROR [COM]: aRC=NS_ERROR_INVALID_ARG (0x80070057) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={Properties with TRANSIENT or TRANSRESET flag cannot be set or modified if VM is not running}, preserve=false aResultDetail=0
00:26:13.760687 DCon28   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:26:13.770771 DCon28   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:26:14.021541 DCon15   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:26:14.026189 DCon15   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:26:15.215917 DCon30   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:26:15.232833 DCon30   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:32:57.197611 DCon04   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:32:57.201736 DCon04   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:32:57.640266 DCon32   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:32:57.644046 DCon32   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
01:01:04.562863 DCon04   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
01:01:04.565946 DCon04   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
01:01:13.601539 main     VirtualBox: object deletion starts
01:01:13.601566 main     ERROR [COM]: aRC=VBOX_E_OBJECT_IN_USE (0x80bb000c) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Medium '/home/joao/VirtualBox VMs/WIndows/WIndows.vdi' cannot be closed because it is still attached to 1 virtual machines}, preserve=false aResultDetail=0
01:01:13.601896 main     HostDnsMonitor: shutting down ...
01:01:13.602591 main     HostDnsMonitor: shut down
01:01:13.620987 Watcher  ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={d644ad1e-c501-4fc7-9ab6-aa6d763bc540} aComponent={VirtualBoxWrap} aText={The object is not ready}, preserve=false aResultDetail=0
01:01:13.621172 main     VirtualBox: object deleted
